Canton,Country,People,CantonLanguage,CountryLanguage,Colour
Genève,Republic of Uzbekistan,16,French,Uzbek,c994ff
Genève,Romania,187,French,Romanian,fffd66
Genève,Russia,481,French,Russian,68ED7C
Genève,Saudi Arabia,64,French,Arabic,fffd06
Genève,Senegal,55,French,French,f26aff
Genève,Serbia,81,French,Serbian,6cd8ed
Genève,Sierra Leone,6,French,English,68ED7C
Genève,Singapore,28,French,English,68ED7C
Genève,Slovakia,53,French,Slovak,7677ff
Genève,Slovenia,26,French,Slovene,f26aff
Genève,Somalia,17,French,Somali,ffad61
Genève,South Africa,45,French,Zulu,ff0000
Genève,South Korea,143,French,Korean,a1ffd1
Genève,South Sudan,5,French,English,68ED7C
Genève,Spain,1160,French,Spanish,68ffcb
Genève,State of Palestine,9,French,Arabic,fffd06
Genève,Sudan,48,French,Arabic,fffd06
Genève,Sweden,120,French,Swedish,ff339f
Genève,Switzerland,4153,French,German,68ffcb
Genève,Syria,97,French,Arabic,fffd06
Genève,Tajikistan,20,French,Tajik,ff908e
Genève,Thailand,52,French,Thai,c45dff
Genève,Togo,18,French,French,f26aff
Genève,Trinidad and Tobago,8,French,English,68ED7C
Genève,Tunisia,103,French,Arabic,fffd06
Genève,Turkey,170,French,Turkish,fffd06
Genève,Uganda,28,French,English,68ED7C
Genève,Ukraine,129,French,Ukrainian,ffc668
Genève,United Arab Emirates,2,French,Arabic,fffd06
Genève,United Kingdom,971,French,English,68ED7C
Genève,United States,975,French,English,68ED7C
Genève,Uruguay,5,French,Spanish,68ffcb
Genève,Venezuela,31,French,Spanish,68ffcb
Genève,Vietnam,61,French,Vietnamese,ff96c8
Genève,Yemen,21,French,Arabic,fffd06
Genève,Zambia,14,French,English,68ED7C
Genève,Zimbabwe,27,French,English,68ED7C
Glarus,Afghanistan,5,German,Pashto,ff0880
Glarus,Albania,1,German,Albanian,ff0000
Glarus,Algeria,1,German,Arabic,fffd06
Glarus,Argentina,1,German,Spanish,68ffcb
Glarus,Austria,21,German,German,68ffcb
Glarus,Belgium,4,German,Dutch,fffd66
Glarus,Bosnia and Herzegovina,5,German,Croatian,9900ff
Glarus,Brazil,3,German,Portuguese,0406ff
