Canton,Country,People,CantonLanguage,CountryLanguage,Colour
Neuchâtel,Georgia,3,French,Georgian,ffad61
Neuchâtel,Germany,51,French,German,68ffcb
Neuchâtel,Ghana,2,French,English,68ED7C
Neuchâtel,Greece,11,French,Greek,c45dff
Neuchâtel,Guinea,1,French,French,f26aff
Neuchâtel,Guinea-Bissau,1,French,Portuguese,0406ff
Neuchâtel,Haiti,1,French,French,f26aff
Neuchâtel,Hungary,8,French,Hungarian,fbffa1
Neuchâtel,India,20,French,Hindi,ff908e
Neuchâtel,Indonesia,6,French,Indonesian,99eaff
Neuchâtel,Iran,8,French,Persian,ff4743
Neuchâtel,Iraq,1,French,Arabic,fffd06
